"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "HTML", "vue", "XML", "CSS", "Log", "comment", "blank", "total"
"d:\WorkT\workTask-stage4\xinjiang\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\WorkT\workTask-stage4\xinjiang\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\WorkT\workTask-stage4\xinjiang\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 12, 0, 20
"d:\WorkT\workTask-stage4\xinjiang\npminstall-debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 203
"d:\WorkT\workTask-stage4\xinjiang\package-lock.json", "JSON", 0, 11584, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11585
"d:\WorkT\workTask-stage4\xinjiang\package.json", "JSON", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"d:\WorkT\workTask-stage4\xinjiang\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"d:\WorkT\workTask-stage4\xinjiang\src\App.vue", "vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\WorkT\workTask-stage4\xinjiang\src\assets\icon\tingkao.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\WorkT\workTask-stage4\xinjiang\src\assets\icon\首页.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\WorkT\workTask-stage4\xinjiang\src\components\DamageAssessment\AreaHistory.vue", "vue", 0, 0, 0, 0, 0, 223, 0, 0, 0, 1, 2, 226
"d:\WorkT\workTask-stage4\xinjiang\src\components\DamageAssessment\AreaRetrieval.vue", "vue", 0, 0, 0, 0, 0, 248, 0, 0, 0, 3, 4, 255
"d:\WorkT\workTask-stage4\xinjiang\src\components\DamageAssessment\AssessResults.vue", "vue", 0, 0, 0, 0, 0, 402, 0, 0, 0, 17, 9, 428
